2025-03-30 06:17:24,270 - INFO - Popup Closer started
2025-03-30 09:11:32,502 - INFO - Closed popup using 'badspam.png' at position 1609, 977
2025-03-30 09:11:33,504 - INFO - Closed popup using 'badspam.png' at position 1609, 977
2025-03-30 09:18:16,917 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:18:18,117 - ERROR - Error locating image 'badspam.png': PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED.
2025-03-30 09:18:18,347 - INFO - Saved debug screenshot to C:\Users\recon\Desktop\BIZ\scripts\debug_screenshots\screen_20250330_091818.png
2025-03-30 09:18:18,348 - INFO - Clearing 1 debug screenshots from C:\Users\recon\Desktop\BIZ\scripts\debug_screenshots as no popups were detected in the last scan.
2025-03-30 09:19:19,570 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:20,744 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:21,844 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:22,994 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:24,168 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:25,452 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:26,569 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:27,667 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:28,767 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:29,921 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:30,990 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:32,061 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:33,139 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:34,205 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:35,324 - INFO - Closed popup using 'badspam.png' at position 1016, 551
2025-03-30 09:19:36,392 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:37,464 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:38,689 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:39,762 - INFO - Closed popup using 'badspam.png' at position 1784, 958
2025-03-30 09:19:40,776 - INFO - Closed popup using 'badspam.png' at position 1784, 958
